iter	Passed	Remaining
413	3428	8993
414	3436	8983
415	3444	8974
416	3451	8963
417	3459	8954
418	3467	8945
419	3476	8938
420	3484	8929
421	3493	8924
422	3502	8917
423	3510	8908
424	3518	8898
425	3526	8891
426	3535	8883
427	3543	8874
428	3554	8874
429	3570	8884
430	3582	8885
431	3591	8877
432	3598	8867
433	3606	8857
434	3614	8848
435	3622	8839
436	3629	8829
437	3639	8825
438	3662	8850
439	3673	8848
440	3681	8841
441	3692	8839
442	3701	8831
443	3710	8824
444	3720	8820
445	3729	8813
446	3739	8808
447	3748	8801
448	3757	8795
449	3766	8788
450	3776	8784
451	3786	8779
452	3793	8768
453	3801	8758
454	3809	8750
455	3816	8738
456	3824	8728
457	3831	8716
458	3839	8708
459	3846	8697
460	3855	8689
461	3865	8685
462	3873	8676
463	3881	8667
464	3888	8655
465	3896	8646
466	3903	8635
467	3911	8626
468	3918	8614
469	3926	8605
470	3934	8595
471	3943	8588
472	3951	8579
473	3960	8571
474	3968	8562
475	3976	8555
476	3984	8545
477	4032	8621
478	4063	8662
479	4081	8674
480	4090	8665
481	4098	8655
482	4106	8647
483	4116	8641
484	4125	8634
485	4133	8624
486	4144	8621
487	4158	8624
488	4170	8622
489	4181	8619
490	4192	8614
491	4201	8608
492	4211	8602
493	4221	8596
494	4231	8591
495	4241	8584
496	4249	8576
497	4258	8568
498	4266	8559
499	4276	8552
500	4285	8544
501	4293	8536
502	4303	8529
503	4311	8521
504	4322	8516
505	4330	8506
506	4339	8498
507	4347	8488
508	4355	8480
509	4363	8470
510	4371	8461
511	4380	8452
512	4389	8445
513	4397	8436
514	4406	8428
515	4414	8418
516	4423	8409
517	4431	8400
518	4440	8392
519	4449	8385
520	4458	8376
521	4466	8368
522	4474	8359
523	4483	8351
524	4492	8342
525	4501	8334
526	4509	8325
527	4518	8317
528	4526	8307
529	4534	8298
530	4543	8291
531	4551	8282
532	4560	8273
533	4568	8264
534	4577	8255
535	4585	8247
536	4593	8238
537	4602	8229
538	4610	8219
539	4619	8211
540	4627	8202
541	4635	8194
542	4645	8187
543	4653	8178
544	4661	8169
545	4669	8159
546	4679	8152
547	4687	8143
548	4696	8134
549	4703	8124
550	4714	8119
551	4722	8110
552	4731	8102
553	4740	8094
