iter	MAE
0	0.937085926
1	0.9254545499
2	0.914284771
3	0.9016533241
4	0.8905960016
5	0.8800173525
6	0.8724852784
7	0.8624828245
8	0.8515974614
9	0.8417983521
10	0.8309820631
11	0.8211476711
12	0.8119560409
13	0.8026355883
14	0.7945058328
15	0.7857163135
16	0.7779559717
17	0.7698127804
18	0.7603084949
19	0.7526793642
20	0.7444019477
21	0.7370164931
22	0.7296682117
23	0.7226763493
24	0.714556255
25	0.7076548487
26	0.7006380042
27	0.694447358
28	0.6866114137
29	0.6791666395
30	0.6731475002
31	0.6667978408
32	0.6594393748
33	0.6534616892
34	0.6466927374
35	0.6411742035
36	0.6369739188
37	0.6315941951
38	0.6261482815
39	0.6199105636
40	0.6157006488
41	0.6111044909
42	0.604986853
43	0.5997287796
44	0.5949933757
45	0.5906829325
46	0.5857620902
47	0.5809264791
48	0.5765614418
49	0.5727543049
50	0.5686147603
51	0.5642390861
52	0.5601812274
53	0.5550387768
54	0.5512412338
55	0.5474155323
56	0.5432959169
57	0.5396308087
58	0.5360145538
59	0.5317128655
60	0.5275224023
61	0.5239046839
62	0.5199782235
63	0.5155949026
64	0.5125974574
65	0.5084694498
66	0.5049901786
67	0.5007368743
68	0.497631279
69	0.4946209401
70	0.4928216054
71	0.489961618
72	0.4869028988
73	0.4838269484
74	0.4811335121
75	0.4791193199
76	0.4755308804
77	0.4724996168
78	0.4702003864
79	0.468404938
80	0.4667900081
81	0.464410125
82	0.4628429719
83	0.4606067015
84	0.4590401475
85	0.4554143982
86	0.4533238593
87	0.451167913
88	0.449268561
89	0.4472628259
90	0.4448594671
91	0.4434425559
92	0.4417216106
93	0.4391949996
94	0.4363515485
95	0.4354052283
96	0.4335681115
97	0.4311579059
98	0.4295926256
99	0.4282533137
100	0.4266524763
101	0.424498796
102	0.423393751
103	0.421335311
104	0.4195193233
105	0.4184019197
106	0.4165805292
107	0.4148712481
108	0.413489547
109	0.4124762987
110	0.4104460479
111	0.4084063588
112	0.4070998704
113	0.4053960161
114	0.4031824826
115	0.4020692335
116	0.4011192765
117	0.4001282533
118	0.3984345415
119	0.397364169
120	0.3951465187
121	0.393504241
122	0.3922626236
123	0.3906540947
124	0.3895049784
125	0.3886881588
126	0.3874043305
127	0.3863667464
128	0.3851312004
129	0.3844407506
130	0.3831943006
131	0.3818080159
132	0.3803457408
133	0.3787072709
134	0.377046329
135	0.3761097673
136	0.3752011039
137	0.3743726745
138	0.3734621934
139	0.372704775
140	0.3710977814
141	0.3700972123
142	0.3689547933
143	0.3678825221
144	0.3661899824
145	0.3648203359
146	0.3636738265
147	0.3624677222
148	0.3614678067
149	0.3608580805
150	0.3595661889
151	0.3585132648
152	0.357758545
153	0.3572804783
154	0.3556418417
155	0.3549580315
156	0.3542660458
157	0.3532380023
158	0.3527690232
159	0.3518988235
160	0.3514976645
161	0.350773769
162	0.3500264551
163	0.3495422749
164	0.3485756393
165	0.3474786319
166	0.3463720999
167	0.3453960679
168	0.3446592748
169	0.3440689367
170	0.3432578376
171	0.3426948836
172	0.3417338187
173	0.3408972112
174	0.3399678596
175	0.3391203165
176	0.338330007
177	0.3376720186
178	0.3372656255
179	0.3365794518
180	0.336051961
181	0.3356602358
182	0.335352629
183	0.3346919888
184	0.33418543
185	0.3332491026
186	0.332372019
187	0.3316035289
188	0.3308529979
189	0.3298540824
190	0.3292159547
191	0.3289224802
192	0.328619493
193	0.3279211503
194	0.3275026844
195	0.3266256455
196	0.3256054052
197	0.3251004024
198	0.3246168486
199	0.3237739883
200	0.3232908732
201	0.3229527935
202	0.3225906249
203	0.3223613347
204	0.3220981196
205	0.3216329519
206	0.3211466719
207	0.3207257681
208	0.3203250899
209	0.3198330076
210	0.3195725189
211	0.3193264868
212	0.3186623232
213	0.3180891288
214	0.317282171
215	0.3170473166
216	0.3167095324
217	0.3161452103
218	0.3160264036
219	0.3151932833
220	0.3144666151
221	0.3134411581
222	0.3131558122
223	0.3125473273
224	0.3121107675
225	0.3114303504
226	0.311177238
227	0.3105351982
228	0.3097863614
229	0.3093651336
230	0.3087096851
231	0.3083748492
232	0.3078596598
233	0.307440887
234	0.3067925153
235	0.306337592
236	0.3056761431
237	0.3050348549
238	0.304673567
239	0.3043548525
240	0.3038948276
241	0.3036135357
242	0.3032791643
243	0.3031048545
244	0.3028366121
245	0.3019803827
246	0.3018006872
247	0.3010183482
248	0.3005410643
249	0.299902564
250	0.2995814519
251	0.2989886583
252	0.2984315737
253	0.2982392713
254	0.2978742965
255	0.2976939042
256	0.2972406031
257	0.2970247168
258	0.2968595818
259	0.2962546112
260	0.2957030624
261	0.2953093948
262	0.2949411987
263	0.294416344
264	0.2940043944
265	0.2937775305
266	0.2935468457
267	0.2932385818
268	0.2927546186
269	0.2924495242
270	0.2922944565
271	0.2916044465
272	0.2912551703
273	0.2908372522
274	0.2906400408
275	0.2901886138
276	0.2900130223
277	0.2896020909
278	0.2890772455
279	0.2883127051
280	0.2882041567
281	0.2880883557
282	0.2879588458
283	0.2878374275
284	0.2876473611
285	0.2874366076
286	0.2871817364
287	0.2867246494
288	0.2863910957
289	0.2861146745
290	0.2858318903
291	0.2856416298
292	0.2854769994
293	0.2852745593
294	0.2850955037
295	0.2849498651
296	0.2848045452
297	0.2846222826
298	0.2841719685
299	0.2837663914
300	0.2835502764
301	0.2834215219
302	0.283280747
303	0.2829788619
304	0.2827252193
305	0.282637372
306	0.2823222981
307	0.2821912014
308	0.2819221707
309	0.2816484699
310	0.2813083894
311	0.2810153617
312	0.2805006752
313	0.2804327446
314	0.2801822853
315	0.2799070291
316	0.2797755101
317	0.2795902624
318	0.2794443003
319	0.2792903812
320	0.2790516615
321	0.2785686878
